"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"11/07/2012","Knockea, Ballyneety","","Limerick","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/07/2012","29 STRANDVILLE GARDENS, O'CALLAGHAN STRAND","","Limerick","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/07/2012","Ballinkeane, Clanmarrice Avenue, North Circular Road","","Limerick","€199,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/07/2012","Kiltannan South, Croagh","","Limerick","€135,000.00","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"13/07/2012","1 WOODHAVEN, CASTLETROY","","Limerick","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/07/2012","37 Cairnsfort, Golf Links Road, Castletroy","","Limerick","€210,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/07/2012","4 Meadowvale, Raheen","","Limerick","€315,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/07/2012","Ballinscaula, Kilmallock","","Limerick","€114,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/07/2012","Bettyville, Crecora","","Limerick","€390,748.99","No","Second-Hand Dwelling house /Apartment",""
"13/07/2012","Braemar, Farranshone","","Limerick","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/07/2012","Doonvullen Lower, Caherconlish","","Limerick","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/07/2012","138 Dooradoyle Park, Dooradoyle Road, Limerick","","Limerick","€152,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/07/2012","12 Bishop Court, Newcastle West","","Limerick","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/07/2012","1 Woodfield Park, Newcastle West","","Limerick","€86,500.00","No","Second-Hand Dwelling house /Apartment",""
"18/07/2012","23 GARRYGLASS AVE, BALLINACURRA WESTON","","Limerick","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/07/2012","3 Greenpark Close, South Circular Road, Limerick City","","Limerick","€222,500.00","No","Second-Hand Dwelling house /Apartment",""
"18/07/2012","Garryheakin, Pallasgreen","","Limerick","€27,500.00","No","Second-Hand Dwelling house /Apartment",""
"19/07/2012","15 COLLEGE GATE, SUMMERVILLE AVENUE, SOUTH CIRCULAR ROAD","","Limerick","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/07/2012","Ardykeohane, Bruff","","Limerick","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/07/2012","13 Huntsfield Avenue, Dooradoyle","","Limerick","€235,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/07/2012","7 Emmet Place, Limerick","","Limerick","€57,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"24/07/2012","6 Deel Court, Rathkeale","","Limerick","€39,800.00","Yes","Second-Hand Dwelling house /Apartment",""
"24/07/2012","Delmar, Ballysimon Road","","Limerick","€192,500.00","No","Second-Hand Dwelling house /Apartment",""
"24/07/2012","Kileedy, Ballagh","","Limerick","€162,300.00","No","Second-Hand Dwelling house /Apartment",""
"24/07/2012","Turagh, Cappamore","","Limerick","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/07/2012","26 Marian Park, Patrickswell","","Limerick","€72,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/07/2012","3 The Bracken, Cork Road, NewcastleWest","","Limerick","€128,409.69","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/07/2012","68 LENIHAN AVE, PROSPECT","","Limerick","€6,500.00","No","Second-Hand Dwelling house /Apartment",""
"25/07/2012","TEMPLEATHEA WEST, ATHEA","","Limerick","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/07/2012","Tullabracky, Bruff","","Limerick","€320,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/07/2012","10 Mullally Lawn, Cappamore","","Limerick","€38,300.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/07/2012","3 Pearse Avenue, Janesboro, Limerick","","Limerick","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/07/2012","Ballybrood, Caherline","","Limerick","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/07/2012","Ballybrood, Caherline","","Limerick","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/07/2012","Ballydonnell, Feohanagh","","Limerick","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
